NCIt Code	SwissProt ID	NCIt Preferred Name
C150023	Q9C0C9	(E3-Independent) E2 Ubiquitin-Conjugating Enzyme
C104761	Q15118	[Pyruvate Dehydrogenase [Lipoamide]] Kinase Isozyme 1, Mitochondrial
C114748	Q16654	[Pyruvate Dehydrogenase [Lipoamide]] Kinase Isozyme 4, Mitochondrial
C104148	Q07973	1,25-Dihydroxyvitamin D(3) 24-Hydroxylase, Mitochondrial
C101118	P62258	14-3-3 Protein Epsilon
C26474	P31947	14-3-3 Protein Sigma
C21455	P27348	14-3-3 Protein Theta
C88210	Q6NUR9	14-3-3 Protein Zeta/Delta
C78140	P15428	15-Hydroxyprostaglandin Dehydrogenase [NAD+]
C105154	O14756	17-Beta-Hydroxysteroid Dehydrogenase Type 6
C114690	Q9NUQ2	1-Acyl-Sn-Glycerol-3-Phosphate Acyltransferase Epsilon
C34065	Q01970	1-Phosphatidylinositol 4,5-Bisphosphate Phosphodiesterase Beta-3
C116274	Q8N3E9	1-Phosphatidylinositol 4,5-Bisphosphate Phosphodiesterase Delta-3
C115069	Q9P212	1-Phosphatidylinositol 4,5-Bisphosphate Phosphodiesterase Epsilon-1
C104824	P19174	1-Phosphatidylinositol 4,5-Bisphosphate Phosphodiesterase Gamma-1
C18942	P16885	1-Phosphatidylinositol 4,5-Bisphosphate Phosphodiesterase Gamma-2
C114646	Q9NYL5	24-Hydroxycholesterol 7-Alpha-Hydroxylase
C101337	Q05823	2-5A-Dependent Ribonuclease
C114943	O75881	25-Hydroxycholesterol 7-Alpha-Hydroxylase
C40074	O15528	25-Hydroxyvitamin D-1 Alpha-Hydroxylase, Mitochondrial
C106091	P35998	26S Protease Regulatory Subunit 7
C25845	P60896	26S Proteasome Complex Subunit SEM1
C125536	O00231	26S Proteasome Non-ATPase Regulatory Subunit 11
C122752	P55036	26S Proteasome Non-ATPase Regulatory Subunit 4
C122902	Q9UJ83	2-Hydroxyacyl-CoA Lyase 1
C113550	Q16880	2-Hydroxyacylsphingosine 1-Beta-Galactosyltransferase
C114369	P14060	3 Beta-Hydroxysteroid Dehydrogenase/Delta 5->4-Isomerase Type 1
C105157	P26439	3 Beta-Hydroxysteroid Dehydrogenase/Delta 5->4-Isomerase Type 2
C102974	Q9BRJ2	39S Ribosomal Protein L45, Mitochondrial
C54701	P04035	3-Hydroxy-3-Methylglutaryl-Coenzyme A Reductase
C29591	Q06136	3-Ketodihydrosphingosine Reductase
C26314	P56937	3-Keto-Steroid Reductase
C105160	P18405	3-Oxo-5-Alpha-Steroid 4-Dehydrogenase 1
C17190	P31213	3-Oxo-5-Alpha-Steroid 4-Dehydrogenase 2
C30166	O15530	3-Phosphoinositide-Dependent Protein Kinase 1
C129268	P15880	40S Ribosoma Protein S2
C104728	P62263	40S Ribosomal Protein S14
C29904	P39019	40S Ribosomal Protein S19
C152007	P60866	40S Ribosomal Protein S20
C29905	P42677	40S Ribosomal Protein S27
C29906	P23396	40S Ribosomal Protein S3
C91352	P62753	40S Ribosomal Protein S6
C17306	P08865	40S Ribosomal Protein SA
C124117	P08195	4F2 Cell-Surface Antigen Heavy Chain
C91863	Q9H816	5' Exonuclease Apollo
C18271	P17643	5,6-Dihydroxyindole-2-Carboxylic Acid Oxidase
C94707	Q8IZH2	5'-3' Exoribonuclease 1
C94710	Q9H0D6	5'-3' Exoribonuclease 2
C33949	Q00013	55 kDa Erythrocyte Membrane Protein
C111874	P13196	5-Aminolevulinate Synthase, Nonspecific, Mitochondrial
C116033	Q13131	5'-AMP-Activated Protein Kinase Catalytic Subunit Alpha-1
C94747	P54646	5'-AMP-Activated Protein Kinase Catalytic Subunit Alpha-2
C105870	P08908	5-Hydroxytryptamine Receptor 1A
C40095	P28223	5-Hydroxytryptamine Receptor 2A
C115018	P28335	5-Hydroxytryptamine Receptor 2C
C25906	P46098	5-Hydroxytryptamine Receptor 3A
C114927	P21589	5'-Nucleotidase
C104340	P10809	60 kDa Heat Shock Protein, Mitochondrial
C148009	P05388	60S Acidic Ribosomal Protein P0
C29882	P27635	60S Ribosomal Protein L10
C21211	P26373	60S Ribosomal Protein L13
C104763	P40429	60S Ribosomal Protein L13a
C21397	P84098	60S Ribosomal Protein L19
C97763	P35268	60S Ribosomal Protein L22
C21399	P47914	60S Ribosomal Protein L29
C107654	P46777	60S Ribosomal Protein L5
C29903	P62424	60S Ribosomal Protein L7a
C21395	P62917	60S Ribosomal Protein L8
C102810	Q16875	6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 3
C148361	Q16877	6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 4
C104791	P08237	6-Phosphofructokinase, Muscle Type
C49206	P36639	7,8-Dihydro-8-Oxoguanine Triphosphatase
C17592	P08253	72kDa Type IV Collagenase
C48836	P11021	78 kDa Glucose-Regulated Protein
C40055	Q9UNU6	7-Alpha-Hydroxycholest-4-En-3-One 12-Alpha-Hydroxylase
C38598	O60733	85 kDa Calcium-Independent Phospholipase A2
C21277	Q9UHI8	A Disintegrin and Metalloprotease with Thrombospondin Motifs 1
C21279	Q9P2N4	A Disintegrin and Metalloprotease with Thrombospondin Motifs 9
C118327	Q76LX8	A Disintegrin and Metalloproteinase With Thrombospondin Motifs 13
C150168	P59510	A Disintegrin and Metalloproteinase with Thrombospondin Motifs 20
C61059	Q9UIF7	A/G-Specific Adenine DNA Glycosylase
C18533	P42684	Abelson Tyrosine-Protein Kinase 2
C29996	Q8IZP0	ABL Interactor 1
C21300	Q9NYB9	ABL Interactor 2
C118991	Q8IZT6	Abnormal Spindle-Like Microcephaly-Associated Protein
C103887	Q13085	Acetyl-CoA Carboxylase 1
C21321	P50553	Achaete-Scute Homolog 1
C103901	Q13510	Acid Ceramidase
C26201	O43427	Acidic Fibroblast Growth Factor Intracellular-Binding Protein
C125587	P39687	Acidic Leucine-Rich Nuclear Phosphoprotein 32 Family Member A
C25962	Q92688	Acidic Leucine-Rich Nuclear Phosphoprotein 32 Family Member B
C21484	O43423	Acidic Leucine-Rich Nuclear Phosphoprotein 32 Family Member C
C21485	O95626	Acidic Leucine-Rich Nuclear Phosphoprotein 32 Family Member D
C114697	Q16515	Acid-Sensing Ion Channel 2
C21478	Q8NEB7	Acrosin-Binding Protein
C103972	P62736	Actin, Aortic Smooth Muscle
C103969	P60709	Actin, Cytoplasmic 1
C150162	P63261	Actin, Cytoplasmic 2
C30011	P63267	Actin, Gamma-Enteric Smooth Muscle
C91771	O15143	Actin-Related Protein 2/3 Complex Subunit 1B
C152042	Q9P1U1	Actin-Related Protein 3B
C128277	P42574	Activated Caspase-3
C129925	P55211	Activated Caspase-9
C21341	Q07912	Activated CDC42 Kinase 1
C30159	P53999	Activated RNA Polymerase II Transcriptional Coactivator p15
C119672	Q6VMQ6	Activating Transcription Factor 7-Interacting Protein 1
C101415	Q9GZX7	Activation-Induced Cytidine Deaminase
C21206	O00198	Activator of Apoptosis Harakiri
C26612	Q04771	Activin Receptor Type-1
C28714	P36896	Activin Receptor Type-1B
C96021	Q8NER5	Activin Receptor Type-1C
C21272	P27037	Activin Receptor Type-2A
C21274	Q13705	Activin Receptor Type-2B
C17472	P13798	Acylamino-Acid-Releasing Enzyme
C102778	O00767	Acyl-CoA Desaturase
C114703	Q9BR61	Acyl-CoA-Binding Domain-Containing Protein 6
C104626	O75608	Acyl-Protein Thioesterase 1
C17414	P46108	Adapter Molecule crk
C16260	P07741	Adenine Phosphoribosyltransferase
C17687	P25054	Adenomatous Polyposis Coli Protein
C21324	O95996	Adenomatous Polyposis Coli Protein 2
C122737	Q8TB61	Adenosine 3'-phospho 5'-phosphosulfate Transporter 1
C16261	P00813	Adenosine Deaminase
C38610	P30542	Adenosine Receptor A1
C38612	P29274	Adenosine Receptor A2a
C38614	P29275	Adenosine Receptor A2b
C38616	P33765	Adenosine Receptor A3
C104866	P23526	Adenosylhomocysteinase
C16264	O60503	Adenylate Cyclase
C124038	O60503	Adenylate Cyclase Type 9
C150241	Q96PE1	Adhesion G Protein-Coupled Receptor A2
C28716	O60241	Adhesion G Protein-Coupled Receptor B2
C28717	O60242	Adhesion G Protein-Coupled Receptor B3
C126952	Q14246	Adhesion G Protein-Coupled Receptor E1
C113545	Q5T601	Adhesion G Protein-Coupled Receptor F1
C150275	Q9HAR2	Adhesion G Protein-Coupled Receptor L3
C99659	Q9Y653	Adhesion G-Protein Coupled Receptor G1
C153052	Q86SQ4	Adhesion G-Protein Coupled Receptor G6
C94786	Q15848	Adiponectin
C103975	Q96A54	Adiponectin Receptor Protein 1
C103978	Q86V24	Adiponectin Receptor Protein 2
C113266	P35318	ADM
C37299	P12235	ADP/ATP Translocase 1
C37301	P05141	ADP/ATP Translocase 2
C37303	P12236	ADP/ATP Translocase 3
C84323	P28907	ADP-Ribosyl Cyclase 1
C143144	P84077	ADP-Ribosylation Factor 1
C143145	P62330	ADP-Ribosylation Factor 6
C150174	Q9NP61	ADP-Ribosylation Factor GTPase-Activating Protein 3
C143139	Q13795	ADP-Ribosylation Factor-Related Protein 1
C119709	Q96AP0	Adrenocortical Dysplasia Protein Homolog
C106214	Q15109	Advanced Glycosylation End Product-Specific Receptor
C33944	P51825	AF4/FMR2 Family Member 1
C26338	P51826	AF4/FMR2 Family Member 3
C21386	Q9UHB7	AF4/FMR2 Family Member 4
C33946	P55196	Afadin
C21331	O43488	Aflatoxin B1 Aldehyde Reductase Member 2
C115169	O00253	Agouti-Related Protein
C131343	P42127	Agouti-Signaling Protein
C95463	O00170	AH Receptor-Interacting Protein
C97911	O43572	A-Kinase Anchor Protein 10, Mitochondrial
C21326	Q02952	A-Kinase Anchor Protein 12
C21329	Q12802	A-Kinase Anchor Protein 13
C142996	Q5JQC9	A-Kinase Anchor Protein 4
C134592	Q13023	A-Kinase Anchor Protein 6
C21325	Q99996	A-Kinase Anchor Protein 9
C127887	Q2M3C7	A-Kinase Anchor Protein SPHKAP
C38507	P24298	Alanine Aminotransferase 1
C38509	Q8TD30	Alanine Aminotransferase 2
C112104	P14550	Alcohol Dehydrogenase [NADP(+)]
C111826	P00326	Alcohol Dehydrogenase 1C
C111833	P08319	Alcohol Dehydrogenase 4
C97219	P30837	Aldehyde Dehydrogenase X, Mitochondrial
C84997	P05091	Aldehyde Dehydrogenase, Mitochondrial
C105419	Q04828	Aldo-Keto Reductase Family 1 Member C1
C105428	P52895	Aldo-Keto Reductase Family 1 Member C2
C129054	P42330	Aldo-Keto Reductase Family 1 Member C3
C133811	P15121	Aldose Reductase
C27032	Q9UM73	ALK Tyrosine Kinase Receptor
C103892	Q8TDN7	Alkaline Ceramidase 1
C103895	Q5QJU3	Alkaline Ceramidase 2
C103898	Q9NUN7	Alkaline Ceramidase 3
C107554	P05187	Alkaline Phosphatase, Placental Type
C104232	P05186	Alkaline Phosphatase, Tissue-Nonspecific Isozyme
C150445	Q9UM73	ALKATI Protein
C104402	P22083	Alpha-(1,3)-Fucosyltransferase 4
C102479	Q9UBM8	Alpha-1,3-Mannosyl-Glycoprotein 4-Beta-N-Acetylglucosaminyltransferase C
C21285	P35348	Alpha-1A Adrenergic Receptor
C126967	P02763	Alpha-1-Acid Glycoprotein 1
C116579	P01011	Alpha-1-Antichymotrypsin
C105012	P01009	Alpha-1-Antitrypsin
C20935	P35368	Alpha-1B Adrenergic Receptor
C21287	P08913	Alpha-2A-Adrenergic Receptor
C129263	P08697	Alpha-2-Antiplasmin
C21289	O18935	Alpha-2B Adrenergic Receptor
C107615	P18825	Alpha-2C Adrenergic Receptor
C113823	P02765	Alpha-2-HS-Glycoprotein
C105924	P01023	Alpha-2-Macroglobulin
C124922	P12814	Alpha-Actinin-1
C126634	O43707	Alpha-Actinin-4
C115115	P02511	Alpha-Crystallin B Chain
C104205	P06733	Alpha-Enolase
C16278	P02771	Alpha-Fetoprotein
C101802	Q12800	Alpha-Globin Transcription Factor CP2
C106587	Q9BT30	Alpha-Ketoglutarate-Dependent Dioxygenase AlkB Homolog 7
C99470	Q9C0B1	Alpha-Ketoglutarate-Dependent Dioxygenase FTO
C91364	P00709	Alpha-Lactalbumin
C115255	P35475	Alpha-L-Iduronidase
C48211	Q9UHK6	Alpha-Methylacyl-CoA Racemase
C84993	Q9BVH7	Alpha-N-Acetylgalactosaminide Alpha-2,6-Sialyltransferase 5 Protein
C115984	Q86TB3	Alpha-Protein Kinase 2
C126468	P54920	Alpha-Soluble NSF Attachment Protein
C90119	P37840	Alpha-Synuclein
C78150	P40222	Alpha-Taxilin
C114418	O75443	Alpha-Tectorin
C94843	Q5SQI0	Alpha-Tubulin N-Acetyltransferase
C45562	Q06203	Amidophosphoribosyltransferase
C118617	P21397	Amine Oxidase [Flavin-Containing] A
C125505	P27338	Amine Oxidase [Flavin-Containing] B
C97243	Q13155	Aminoacyl tRNA Synthase Complex-Interacting Multifunctional Protein 2
C94661	P15144	Aminopeptidase N
C20973	P49418	Amphiphysin
C20431	P15514	Amphiregulin
C119685	Q86SJ2	Amphoterin-Induced Protein 2
C104829	Q02410	Amyloid Beta A4 Precursor Protein-Binding Family A Member 1
C104847	Q99767	Amyloid Beta A4 Precursor Protein-Binding Family A Member 2
C104850	O96018	Amyloid Beta A4 Precursor Protein-Binding Family A Member 3
C16285	P05067	Amyloid Beta A4 Protein
C21486	Q92624	Amyloid Protein-Binding Protein 2
C119731	P51693	Amyloid-Like Protein 1
C17063	P10275	Androgen Receptor
C128292	P10275	Androgen Receptor Splice Variant 3
C128291	P10275	Androgen Receptor Splice Variant 5,6,7es
C20430	P03950	Angiogenin
C98145	Q4VCS5	Angiomotin
C18042	Q15389	Angiopoietin-1
C18488	Q02763	Angiopoietin-1 Receptor
C18056	O15123	Angiopoietin-2
C106491	Q9Y264	Angiopoietin-4
C106475	O95841	Angiopoietin-Related Protein 1
C96325	Q9BY76	Angiopoietin-Related Protein 4
C17910	P00747	Angiostatin
C248	P01019	Angiotensin-1
C107562	P01019	Angiotensin-2
C91297	P12821	Angiotensin-Converting Enzyme
C102530	Q9BYF1	Angiotensin-Converting Enzyme 2
C136723	P01019	Angiotensinogen
C103964	Q9NQW6	Anillin
C105069	P48751	Anion Exchange Protein 3
C90177	Q8N961	Ankyrin Repeat and BTB/POZ Domain-Containing Protein 2
C132169	Q96Q27	Ankyrin Repeat and SOCS Box Protein 2
C150171	Q8TF21	Ankyrin Repeat Domain-Containing Protein 24
C151928	Q9UPS8	Ankyrin Repeat Domain-Containing Protein 26
C21505	Q9BXX3	Ankyrin Repeat Domain-Containing Protein 30A
